id,auto_corrected_style,auto_corrected_pass,selection_time_s,total_time_s,direct_pass,cot_pass
HumanEval/82,typed,False,3.673104763031006,22.495248079299927,False,False
HumanEval/83,expert,False,3.043600082397461,4.6981360912323,False,False
HumanEval/84,typed,True,4.227268934249878,5.1522440910339355,False,True
HumanEval/85,simple,False,3.3268818855285645,23.2026207447052,False,False
HumanEval/86,decompose,False,2.9638330936431885,3.3882110118865967,False,False
HumanEval/87,simple,False,5.725346803665161,10.74071717262268,False,False
HumanEval/88,simple,True,4.258261442184448,11.96582293510437,False,False
HumanEval/89,efficient,False,3.6547720432281494,12.078629970550537,False,False
HumanEval/90,simple,False,3.847344160079956,5.061050891876221,False,False
HumanEval/91,defensive,False,3.9110889434814453,23.67309308052063,False,False
HumanEval/92,typed,True,4.197115182876587,6.611032962799072,False,True
HumanEval/93,efficient,False,3.8082435131073,16.462136268615723,False,False
HumanEval/94,typed,False,6.853189945220947,21.983093976974487,False,False
HumanEval/95,typed,True,4.665754079818726,8.426970958709717,False,False
HumanEval/96,typed,False,4.192241668701172,9.393218040466309,False,False
HumanEval/97,typed,True,4.045548439025879,9.165567874908447,False,True
HumanEval/98,typed,True,3.48298716545105,7.819672107696533,False,False
HumanEval/99,defensive,False,4.589330196380615,10.185306072235107,False,False
HumanEval/100,defensive,False,3.9869189262390137,22.49196696281433,False,False
HumanEval/101,typed,False,3.0619189739227295,20.102923154830933,False,False
HumanEval/102,efficient,False,3.561842918395996,22.812045097351074,False,False
HumanEval/103,defensive,False,4.187754154205322,5.298760890960693,False,False
HumanEval/104,decompose,False,3.7165751457214355,9.147722005844116,True,False
HumanEval/105,tdd,False,5.46007776260376,9.413017988204956,False,False
HumanEval/106,typed,True,3.9243087768554688,8.42262077331543,False,False
HumanEval/107,typed,True,5.1900060176849365,7.84699821472168,False,True
HumanEval/108,defensive,False,4.228075981140137,8.608699083328247,False,False
HumanEval/109,tdd,False,6.122715950012207,9.073606014251709,False,True
HumanEval/110,efficient,False,4.939074754714966,6.220123767852783,False,False
HumanEval/111,typed,False,4.132503032684326,12.280862092971802,False,False
HumanEval/112,efficient,False,4.354872941970825,23.831310033798218,False,False
HumanEval/113,typed,False,4.812308073043823,6.74349308013916,False,False
HumanEval/114,tdd,False,3.4720590114593506,22.043225049972534,True,True
HumanEval/115,typed,False,6.6797802448272705,27.931085109710693,True,False
HumanEval/116,typed,True,4.822599172592163,5.713443279266357,False,False
HumanEval/117,typed,False,4.890504837036133,8.8957359790802,False,False
HumanEval/118,typed,False,4.18541693687439,10.292234897613525,False,True
HumanEval/119,tdd,False,4.127020359039307,22.848662853240967,False,False
HumanEval/120,typed,False,4.930025815963745,5.432369947433472,False,False
HumanEval/121,defensive,True,3.6760129928588867,7.824589967727661,False,True
HumanEval/122,typed,False,3.719937324523926,22.374802350997925,False,False
HumanEval/123,typed,False,5.0044472217559814,26.091048002243042,False,False
