id,auto_corrected_style,auto_corrected_pass,selection_time_s,total_time_s,direct_pass,cot_pass
HumanEval/82,defensive,False,3.3832457065582275,4.097826242446899,False,False
HumanEval/83,typed,False,2.9835612773895264,4.275390148162842,False,False
HumanEval/84,typed,True,4.205231189727783,5.106230974197388,False,True
HumanEval/85,decompose,False,3.1386890411376953,21.526399850845337,False,False
HumanEval/86,defensive,False,2.9313931465148926,3.365530014038086,False,False
HumanEval/87,tdd,False,5.659744024276733,24.871580839157104,False,False
HumanEval/88,tdd,False,4.701690196990967,9.279690980911255,False,False
HumanEval/89,defensive,False,3.699420213699341,21.830294132232666,False,False
HumanEval/90,defensive,False,3.764389991760254,7.716570854187012,False,False
HumanEval/91,tdd,False,3.6501903533935547,22.334670782089233,False,False
HumanEval/92,defensive,True,4.073355197906494,5.603153944015503,False,True
HumanEval/93,tdd,False,3.728477954864502,16.07526993751526,False,False
HumanEval/94,expert,False,6.71605920791626,26.315261840820312,False,False
HumanEval/95,typed,True,4.6574013233184814,8.440388917922974,False,False
HumanEval/96,typed,False,3.7942917346954346,9.070611000061035,False,False
HumanEval/97,typed,True,3.785738706588745,8.870965957641602,False,True
HumanEval/98,typed,True,3.380736827850342,7.638351202011108,False,False
HumanEval/99,defensive,False,4.457804918289185,9.880674839019775,False,False
HumanEval/100,tdd,False,3.9518258571624756,12.746420860290527,False,False
HumanEval/101,typed,False,3.079965829849243,20.164907217025757,False,False
HumanEval/102,efficient,False,3.5881426334381104,21.624330043792725,False,False
HumanEval/103,typed,False,4.1863508224487305,5.2415852546691895,False,False
HumanEval/104,typed,False,3.735222101211548,22.4513840675354,True,False
HumanEval/105,decompose,False,5.160258769989014,16.08978509902954,False,False
HumanEval/106,typed,True,3.8173670768737793,8.291031837463379,False,False
HumanEval/107,tdd,True,5.09360933303833,7.800843000411987,False,True
HumanEval/108,defensive,False,3.947031259536743,8.304688692092896,False,False
HumanEval/109,defensive,False,6.225429058074951,8.815026044845581,False,True
HumanEval/110,efficient,False,4.446662187576294,5.782776117324829,False,False
HumanEval/111,efficient,False,4.094371795654297,19.388833045959473,False,False
HumanEval/112,typed,False,4.421314001083374,23.396658897399902,False,False
HumanEval/113,typed,False,4.663244009017944,6.597557783126831,False,False
HumanEval/114,defensive,False,3.4676311016082764,10.70957088470459,True,True
HumanEval/115,typed,False,6.60375189781189,26.65112614631653,True,False
HumanEval/116,efficient,True,4.553861856460571,5.530951023101807,False,False
HumanEval/117,typed,False,4.600246906280518,8.250980138778687,False,False
HumanEval/118,typed,False,4.108319044113159,10.586925983428955,False,True
HumanEval/119,typed,False,4.121762990951538,5.862581968307495,False,False
HumanEval/120,defensive,True,4.38626503944397,8.64885401725769,False,False
HumanEval/121,decompose,True,3.5861587524414062,10.192821979522705,False,True
HumanEval/122,typed,False,3.2947349548339844,22.016303062438965,False,False
HumanEval/123,typed,False,4.795889854431152,23.649111032485962,False,False
HumanEval/124,efficient,True,5.857745170593262,12.608045101165771,False,False
HumanEval/125,decompose,False,4.079229116439819,5.78977108001709,False,False
HumanEval/126,typed,False,5.328320264816284,13.245913982391357,False,False
HumanEval/127,typed,False,5.361287832260132,24.238615036010742,False,False
HumanEval/128,tdd,False,3.7370169162750244,22.02522373199463,False,False
HumanEval/129,typed,False,6.528473138809204,7.151081800460815,False,False
HumanEval/130,defensive,False,5.237297058105469,12.901096820831299,False,False
HumanEval/131,defensive,False,3.2966811656951904,5.986595153808594,False,False
