id,direct_pass,cot_pass,plan_pass,decompose_pass,expert_pass,reviewer_pass,simple_pass,careful_pass,efficient_pass,tdd_pass,defensive_pass,typed_pass,direct_score,cot_score,plan_score,decompose_score,expert_score,reviewer_score,simple_score,careful_score,efficient_score,tdd_score,defensive_score,typed_score,probe_selected_style,probe_selected_pass,random_selected_pass,oracle_pass
261,True,True,True,True,True,True,True,True,True,True,True,True,0.1700250804424286,0.28498852252960205,0.3784985840320587,0.22475430369377136,0.4385439455509186,0.14433929324150085,0.2252511978149414,0.33492860198020935,0.19787685573101044,0.21857455372810364,0.30970871448516846,0.16663828492164612,expert,True,True,True
262,True,True,True,True,True,True,True,True,True,True,False,True,-2.587630033493042,-2.923877239227295,-2.8203465938568115,-2.7185723781585693,-2.4658613204956055,-2.8351197242736816,-2.658254384994507,-2.3500466346740723,-2.80561900138855,-2.4744954109191895,-2.6605281829833984,-2.108973503112793,typed,True,True,True
263,True,True,True,True,True,True,True,True,True,True,True,True,0.1774756759405136,0.12085837125778198,0.2847311794757843,-0.0366787314414978,0.5085227489471436,-0.02071860432624817,0.12842823565006256,0.3383175730705261,0.05999487638473511,0.2076733261346817,0.17990532517433167,-0.03429210186004639,expert,True,True,True
264,False,False,False,False,False,False,False,False,False,False,False,False,1.006973147392273,1.1677262783050537,1.273720383644104,1.0371861457824707,1.1058768033981323,1.1511441469192505,0.8677651882171631,0.9998809099197388,1.0884966850280762,1.1969341039657593,1.1125974655151367,1.0645034313201904,plan,False,False,False
265,False,False,False,False,False,False,False,False,False,False,False,False,-0.3466593623161316,-0.2845601737499237,-0.017782360315322876,-0.5602335929870605,-0.08835971355438232,-0.493694931268692,-0.47639626264572144,0.06296932697296143,-0.2934434711933136,0.12923963367938995,-0.25050464272499084,-0.4705300033092499,tdd,False,False,False
266,False,False,False,False,False,False,False,False,False,False,False,False,-0.10306443274021149,-0.17457923293113708,-0.26141300797462463,-0.0008725523948669434,-0.04946133494377136,-0.31642863154411316,-0.05279712378978729,0.0936332643032074,-0.23879936337471008,-0.222257599234581,-0.06239229440689087,-0.3868962228298187,careful,False,False,False
267,True,True,True,True,True,True,True,True,True,True,True,True,-0.27733176946640015,-0.2240065038204193,-0.2671378552913666,-0.3623760938644409,-0.37840163707733154,-0.32630786299705505,-0.35682153701782227,-0.2069416046142578,-0.34279170632362366,-0.3715749979019165,-0.21177145838737488,-0.5184038877487183,careful,True,True,True
268,False,False,False,False,False,False,False,False,False,False,False,False,-3.6737451553344727,-3.815549612045288,-4.106337547302246,-3.8614819049835205,-3.8968825340270996,-4.149526596069336,-3.6909561157226562,-3.596236228942871,-4.0655717849731445,-3.930690050125122,-3.466805934906006,-3.437980890274048,typed,False,False,False
269,True,True,True,True,True,True,True,True,True,True,True,True,0.6466975808143616,0.7561666965484619,0.8612990379333496,0.43980783224105835,0.869634211063385,0.713900089263916,0.5761743783950806,0.7404934167861938,0.6636026501655579,0.7544276714324951,0.6498326659202576,0.4079771339893341,expert,True,True,True
270,False,True,True,True,True,True,True,False,True,False,False,False,-0.621067225933075,-0.9368433952331543,-0.7538375854492188,-0.829716145992279,-0.36228132247924805,-0.7501506805419922,-0.4994102120399475,-0.668514609336853,-0.7826504707336426,-0.6185234785079956,-0.7054795026779175,-0.5913612842559814,expert,True,True,True
271,True,True,True,True,True,True,True,True,True,True,True,True,0.3483845591545105,0.13939157128334045,0.17281615734100342,0.23982849717140198,0.28589093685150146,0.21182642877101898,0.26023316383361816,0.30673426389694214,0.18005315959453583,0.08937841653823853,0.22115492820739746,0.022741124033927917,direct,True,True,True
272,True,True,True,True,True,True,True,True,True,True,True,True,-1.322993278503418,-1.364427089691162,-1.4575552940368652,-1.2679839134216309,-1.0312087535858154,-1.4084203243255615,-1.3206522464752197,-1.2184326648712158,-1.491706371307373,-1.4235936403274536,-1.2612792253494263,-1.0258619785308838,typed,True,True,True
273,True,True,True,True,True,True,True,True,True,True,True,True,-0.559098482131958,-0.38865926861763,-0.39634791016578674,-0.8330243229866028,-0.3142041862010956,-0.5824358463287354,-0.7507597208023071,-0.5634598135948181,-0.6005924940109253,-0.6498674154281616,-0.6542688608169556,-0.23122873902320862,typed,True,True,True
274,True,True,True,True,True,True,True,True,True,True,True,False,0.0887088030576706,-0.05132243037223816,-0.028753995895385742,0.1923922300338745,0.16187801957130432,-0.10390818119049072,0.16201801598072052,0.2817816734313965,-0.13941532373428345,-0.03962390124797821,0.12932032346725464,-0.28461265563964844,careful,True,True,True
275,False,False,False,False,False,False,False,False,False,False,False,False,-1.2795511484146118,-1.072873592376709,-1.22739577293396,-1.6184916496276855,-1.2298723459243774,-1.5955703258514404,-1.5752187967300415,-1.275561809539795,-1.4149556159973145,-1.350496768951416,-1.402870774269104,-0.9623421430587769,typed,False,False,False
276,False,False,False,False,False,False,False,False,False,False,False,False,1.1018409729003906,1.2831203937530518,1.5581531524658203,1.0900046825408936,1.4386372566223145,1.3229789733886719,1.0585565567016602,1.2279939651489258,1.2997678518295288,1.2571288347244263,1.2533214092254639,1.0476093292236328,plan,False,False,False
277,True,True,True,True,True,True,True,True,True,True,True,False,2.8645496368408203,3.0729668140411377,3.39440655708313,2.848816394805908,3.233245372772217,3.060204029083252,2.859358787536621,2.8583083152770996,3.061204433441162,3.1523540019989014,2.9707765579223633,2.6416821479797363,plan,True,True,True
278,False,False,False,False,False,False,False,False,False,False,False,False,0.6656169891357422,0.6255581378936768,0.6474502086639404,0.6253739595413208,0.8051175475120544,0.5636715888977051,0.596781313419342,0.5389791131019592,0.6699740886688232,0.5870566964149475,0.4614931046962738,0.6913081407546997,expert,False,False,False
