id,direct_score,direct_pass,cot_score,cot_pass,plan_score,plan_pass,decompose_score,decompose_pass,expert_score,expert_pass,reviewer_score,reviewer_pass,simple_score,simple_pass,careful_score,careful_pass,efficient_score,efficient_pass,tdd_score,tdd_pass,defensive_score,defensive_pass,typed_score,typed_pass,probe_selected_style,probe_selected_pass,random_selected_pass,oracle_pass
HumanEval/82,-1.4893100261688232,False,-1.4855146408081055,False,-1.5186179876327515,False,-1.5149526596069336,False,-1.443742275238037,False,-1.431599736213684,False,-1.4244043827056885,False,-1.4340416193008423,False,-1.4252618551254272,False,-1.4272816181182861,False,-1.44118332862854,False,-1.4149070978164673,False,typed,False,False,False
HumanEval/83,-2.513878345489502,False,-2.5199294090270996,False,-2.4795711040496826,False,-2.468567371368408,False,-2.452711582183838,False,-2.4137916564941406,False,-2.4652585983276367,False,-2.514587163925171,False,-2.4536569118499756,False,-2.4301133155822754,False,-2.4143481254577637,False,-2.4426097869873047,False,reviewer,False,False,False
HumanEval/84,-2.1281635761260986,False,-2.2464280128479004,False,-2.195927619934082,False,-2.214357376098633,False,-2.1704976558685303,False,-2.1380832195281982,False,-2.176325798034668,False,-2.2129220962524414,False,-2.1482362747192383,False,-2.1768975257873535,False,-2.1147360801696777,False,-2.177555561065674,False,defensive,False,False,False
HumanEval/85,-1.241119384765625,False,-1.3101379871368408,False,-1.323599934577942,False,-1.3425755500793457,False,-1.2605280876159668,False,-1.1838064193725586,False,-1.2253409624099731,False,-1.2439711093902588,False,-1.238136887550354,False,-1.2885456085205078,False,-1.147185206413269,False,-1.170014500617981,False,defensive,False,False,False
HumanEval/86,-1.9618583917617798,False,-2.0034897327423096,False,-1.9659706354141235,False,-2.017333745956421,False,-1.9796704053878784,False,-1.9453799724578857,False,-1.928856372833252,False,-1.9365029335021973,False,-1.9361982345581055,False,-1.9400485754013062,False,-1.9296000003814697,False,-1.9355531930923462,False,simple,False,False,False
HumanEval/87,-1.7625231742858887,False,-1.755786418914795,False,-1.7315683364868164,False,-1.766884207725525,False,-1.7032866477966309,False,-1.7128210067749023,False,-1.7034708261489868,False,-1.7294515371322632,False,-1.6869336366653442,False,-1.6988461017608643,False,-1.7027300596237183,False,-1.7072033882141113,False,efficient,False,False,False
HumanEval/88,-1.6050969362258911,False,-1.7158176898956299,False,-1.6872377395629883,False,-1.6874967813491821,False,-1.672016978263855,False,-1.6932049989700317,False,-1.6341254711151123,False,-1.649217128753662,False,-1.632208228111267,False,-1.6410245895385742,False,-1.6542301177978516,False,-1.6517908573150635,False,direct,False,False,False
HumanEval/89,-2.022362470626831,False,-2.078152656555176,False,-1.9882407188415527,False,-2.040724515914917,False,-2.02243971824646,False,-1.9584420919418335,False,-1.9552327394485474,False,-2.0239789485931396,False,-2.0165913105010986,False,-1.9664337635040283,False,-1.960214376449585,False,-1.9696921110153198,False,simple,False,False,False
HumanEval/90,-1.1323641538619995,False,-1.2012001276016235,False,-1.205800175666809,False,-1.148714303970337,False,-1.1519018411636353,False,-1.1444928646087646,False,-1.1374266147613525,False,-1.136599063873291,False,-1.1078193187713623,False,-1.1041991710662842,False,-1.133237361907959,False,-1.1488370895385742,False,tdd,False,False,False
HumanEval/91,-1.9547277688980103,False,-1.9907828569412231,False,-1.9380137920379639,False,-1.9752366542816162,False,-1.9218071699142456,False,-1.888063669204712,False,-1.9404571056365967,False,-1.942651391029358,False,-1.9244449138641357,False,-1.9036383628845215,False,-1.8810651302337646,False,-1.8995518684387207,False,defensive,False,False,False
HumanEval/92,-2.1226186752319336,False,-2.084578037261963,False,-2.0316152572631836,False,-2.0671253204345703,False,-2.076434373855591,False,-2.079179048538208,False,-2.056286096572876,False,-2.0521230697631836,False,-2.055630683898926,False,-2.057433843612671,False,-2.0715394020080566,False,-2.02661395072937,False,typed,False,False,False
HumanEval/93,-1.4950670003890991,False,-1.6047582626342773,False,-1.6021349430084229,False,-1.6092151403427124,False,-1.5805482864379883,False,-1.519843339920044,False,-1.5036720037460327,False,-1.5290656089782715,False,-1.5286548137664795,False,-1.5466666221618652,False,-1.491077184677124,False,-1.5003445148468018,False,defensive,False,False,False
