id,direct_score,direct_pass,cot_score,cot_pass,plan_score,plan_pass,decompose_score,decompose_pass,expert_score,expert_pass,reviewer_score,reviewer_pass,simple_score,simple_pass,careful_score,careful_pass,efficient_score,efficient_pass,tdd_score,tdd_pass,defensive_score,defensive_pass,typed_score,typed_pass,probe_selected_style,probe_selected_pass,random_selected_pass,oracle_pass
261,-2.0456840991973877,False,-2.003530740737915,False,-1.903203010559082,False,-2.055187702178955,False,-1.9192065000534058,False,-2.0021252632141113,False,-2.0347952842712402,False,-2.025010108947754,False,-2.030599594116211,False,-2.0492115020751953,False,-2.0284435749053955,False,-2.0196704864501953,False,plan,False,False,False
262,-1.6565485000610352,False,-1.6357853412628174,False,-1.586094856262207,True,-1.6475093364715576,False,-1.5414063930511475,False,-1.6075522899627686,False,-1.6472169160842896,False,-1.6406532526016235,False,-1.644812822341919,False,-1.6452348232269287,False,-1.663926601409912,False,-1.64013671875,False,expert,False,False,True
263,-1.1777101755142212,False,-1.1666696071624756,False,-1.1470433473587036,False,-1.1894227266311646,False,-1.1084963083267212,False,-1.1655014753341675,False,-1.17449951171875,True,-1.1812078952789307,False,-1.177433967590332,False,-1.1926517486572266,False,-1.1868877410888672,True,-1.203688144683838,True,expert,False,True,True
264,-0.8984230756759644,False,-0.8606831431388855,False,-0.7767826318740845,False,-0.8917624950408936,False,-0.7471913695335388,False,-0.8391059041023254,False,-0.8629645109176636,False,-0.8701403141021729,False,-0.8649781942367554,False,-0.8873429894447327,False,-0.8603425025939941,False,-0.828914225101471,False,expert,False,False,False
265,-1.2659573554992676,False,-1.2465975284576416,False,-1.2378058433532715,False,-1.3041033744812012,False,-1.2295029163360596,False,-1.26324462890625,False,-1.2725989818572998,False,-1.2655448913574219,False,-1.2691445350646973,False,-1.3014849424362183,False,-1.2686002254486084,False,-1.2615925073623657,False,expert,False,False,False
266,-1.8067508935928345,False,-1.780851125717163,False,-1.719074010848999,False,-1.8212907314300537,False,-1.681413173675537,False,-1.7685902118682861,False,-1.8007817268371582,False,-1.8014122247695923,False,-1.7989773750305176,False,-1.8262945413589478,False,-1.7889208793640137,False,-1.7688416242599487,False,expert,False,False,False
267,-1.3289157152175903,False,-1.2708184719085693,False,-1.2311173677444458,False,-1.3140811920166016,False,-1.214599609375,False,-1.271079421043396,False,-1.2886452674865723,False,-1.2844257354736328,False,-1.2791235446929932,False,-1.2973154783248901,False,-1.2793465852737427,False,-1.276324987411499,False,expert,False,False,False
268,-1.9426575899124146,False,-1.8847377300262451,False,-1.7972158193588257,False,-1.8812438249588013,False,-1.7461869716644287,False,-1.8747925758361816,False,-1.9188451766967773,False,-1.9061708450317383,False,-1.8967971801757812,False,-1.9023106098175049,False,-1.9036271572113037,False,-1.8787317276000977,False,expert,False,False,False
269,-0.8928093910217285,False,-0.8874836564064026,False,-0.8047945499420166,True,-0.9029131531715393,False,-0.6815065145492554,False,-0.8192436099052429,False,-0.8852065801620483,False,-0.9127305746078491,True,-0.8496283292770386,False,-0.9079878330230713,False,-0.8803250193595886,False,-0.8357614874839783,False,expert,False,False,True
270,-2.009828567504883,False,-1.9339187145233154,False,-1.8835933208465576,False,-1.9654484987258911,False,-1.8552281856536865,False,-1.9263205528259277,False,-1.9585444927215576,False,-1.9541137218475342,False,-1.9592647552490234,False,-1.9638665914535522,False,-1.9620466232299805,False,-1.9522624015808105,False,expert,False,False,False
