id,direct_pass,cot_pass,plan_pass,decompose_pass,expert_pass,reviewer_pass,simple_pass,careful_pass,efficient_pass,tdd_pass,defensive_pass,typed_pass,direct_score,cot_score,plan_score,decompose_score,expert_score,reviewer_score,simple_score,careful_score,efficient_score,tdd_score,defensive_score,typed_score,probe_selected_style,probe_selected_pass,random_selected_pass,oracle_pass
261,False,False,False,False,False,False,False,False,False,False,False,False,-7.392777442932129,-11.13003158569336,-9.840620994567871,-11.295028686523438,-10.257028579711914,-7.557311534881592,-8.8539400100708,-12.610708236694336,-13.688660621643066,-7.361445903778076,-13.826916694641113,-12.58786392211914,tdd,False,False,False
262,False,False,False,False,False,False,False,False,False,False,False,False,-6.943601131439209,-4.619795799255371,-3.7090346813201904,-7.8223958015441895,-7.938230991363525,-4.775927543640137,-6.95952033996582,-5.720459461212158,-8.462038040161133,-6.8232340812683105,-8.525165557861328,-8.628867149353027,plan,False,False,False
263,False,False,False,False,False,False,True,False,False,False,True,False,-8.297962188720703,-4.832538604736328,-5.4522480964660645,-6.991423606872559,-2.4969959259033203,-5.209890842437744,-7.670184135437012,-6.42400598526001,-8.137431144714355,-3.4610791206359863,-8.420639991760254,-8.526758193969727,expert,False,False,True
264,False,False,False,False,False,False,False,False,False,False,False,False,-3.5494556427001953,-1.510021686553955,1.0919106006622314,-3.7319488525390625,2.2426650524139404,-3.4311463832855225,-4.743949890136719,2.2934257984161377,0.38508254289627075,-0.3907747268676758,-3.506627321243286,-7.147791862487793,careful,False,False,False
265,False,False,False,False,False,False,False,False,False,False,False,False,-9.061420440673828,-6.279306888580322,-8.06730842590332,-5.111868858337402,-9.139405250549316,-6.605279445648193,-9.361600875854492,-8.652783393859863,-9.605071067810059,-7.746267795562744,-7.698941707611084,-10.007570266723633,decompose,False,False,False
266,False,False,False,False,False,False,False,False,False,False,False,False,-9.99781608581543,-8.067497253417969,-2.024064302444458,-8.351057052612305,-6.929295539855957,-7.381218433380127,-9.480707168579102,-3.482813835144043,-8.528826713562012,-6.393247604370117,-10.247427940368652,-8.02959156036377,plan,False,False,False
267,False,False,False,False,False,False,False,False,False,False,False,False,-6.106868267059326,-3.030162811279297,-4.4512810707092285,-2.9254419803619385,-0.18296349048614502,-3.1865155696868896,-3.449239492416382,-1.7530561685562134,-2.6048645973205566,-2.7798993587493896,-2.9531009197235107,-6.175025463104248,expert,False,False,False
268,False,False,False,False,False,False,False,False,False,False,False,False,-5.620216369628906,-5.884636402130127,-5.716115474700928,-8.659158706665039,-5.988960266113281,-10.275961875915527,-9.104368209838867,-2.5867600440979004,-5.877684116363525,-5.530621528625488,-10.54413890838623,-8.701154708862305,careful,False,False,False
269,False,False,True,False,False,False,False,True,False,False,False,False,-7.265185832977295,-0.29786112904548645,-0.6002954244613647,-4.009722709655762,-3.9308621883392334,-4.089787006378174,-3.9586715698242188,-0.027414150536060333,-0.6470785737037659,-8.087428092956543,-3.7918524742126465,-7.0969767570495605,careful,True,True,True
270,False,False,False,False,False,False,False,False,False,False,False,False,-6.741619110107422,-4.267500877380371,-6.548985958099365,-7.596159934997559,-4.255650520324707,-6.4456329345703125,-8.269752502441406,-3.9114952087402344,-5.840826034545898,-6.540477752685547,-8.868278503417969,-7.884500980377197,careful,False,False,False
