id,direct_pass,cot_pass,plan_pass,decompose_pass,expert_pass,reviewer_pass,simple_pass,careful_pass,efficient_pass,tdd_pass,defensive_pass,typed_pass,direct_score,cot_score,plan_score,decompose_score,expert_score,reviewer_score,simple_score,careful_score,efficient_score,tdd_score,defensive_score,typed_score,probe_selected_style,probe_selected_pass,random_selected_pass,oracle_pass
HumanEval/82,True,True,True,True,True,True,True,True,False,True,True,True,1.7471939325332642,-2.0336544513702393,0.8343918323516846,0.6513453722000122,1.6568775177001953,1.6716678142547607,1.920830249786377,1.7527989149093628,0.3393813371658325,1.9980602264404297,1.8386119604110718,1.3511011600494385,tdd,True,True,True
HumanEval/83,False,False,False,False,False,False,False,False,False,False,False,False,5.375196933746338,2.6568760871887207,5.01030969619751,5.324029445648193,6.654871463775635,5.523879051208496,4.505908966064453,5.389801979064941,4.151980876922607,6.1338982582092285,6.282364368438721,4.257722854614258,expert,False,False,False
HumanEval/84,False,False,False,False,True,True,False,True,False,False,False,True,3.3648884296417236,1.0079222917556763,2.7555437088012695,1.9249660968780518,5.219635009765625,2.955838680267334,3.8577001094818115,4.194945812225342,3.3383679389953613,4.66831636428833,4.2623724937438965,4.542433261871338,expert,True,False,True
HumanEval/85,True,False,True,True,True,True,True,True,True,True,True,True,1.2915157079696655,-1.2639739513397217,0.48838797211647034,1.0510358810424805,1.3708608150482178,1.6332776546478271,2.419379949569702,1.3767179250717163,0.615556001663208,2.230707883834839,0.7788537740707397,1.0900154113769531,simple,True,True,True
HumanEval/86,False,True,False,True,False,False,True,False,True,False,False,False,-0.6777563691139221,-2.5618691444396973,-2.1995372772216797,-2.1649065017700195,-1.755936861038208,-1.636884331703186,-0.4132228493690491,-1.1204969882965088,-1.2826101779937744,-1.2217919826507568,-1.381488561630249,-0.38176706433296204,typed,False,False,True
HumanEval/87,True,False,True,False,True,True,True,True,False,True,True,False,-0.6699602603912354,-3.893751382827759,-1.9874707460403442,-1.5537667274475098,0.23741202056407928,-0.5969693064689636,0.5732986927032471,-1.2443047761917114,-0.6895360946655273,0.4116137623786926,-1.0723105669021606,-0.3863486349582672,simple,True,True,True
HumanEval/88,True,False,False,True,True,True,True,True,True,True,True,True,-0.2983415722846985,-2.71517276763916,-2.132004737854004,-0.8550170063972473,1.250192642211914,-0.5659834146499634,0.4795641303062439,-1.01204514503479,-0.6302021741867065,0.4936898350715637,-0.45908862352371216,0.00402769073843956,expert,True,False,True
HumanEval/89,False,False,False,True,True,False,True,True,True,False,True,True,0.37485378980636597,-2.929197311401367,-0.4560278356075287,-0.6033604145050049,1.310806393623352,0.8505135774612427,2.1953694820404053,0.2397754043340683,0.33897650241851807,2.1251380443573,0.27720558643341064,0.8169893026351929,simple,True,False,True
HumanEval/90,False,False,False,False,False,False,False,False,False,False,False,False,1.6523327827453613,-1.941364049911499,0.23831287026405334,0.3079654574394226,1.4186272621154785,0.9376778602600098,1.8484282493591309,1.2599010467529297,0.029625847935676575,1.721797227859497,1.1436673402786255,1.3918997049331665,simple,False,False,False
HumanEval/91,False,False,False,False,False,False,False,False,False,False,False,False,0.4398081302642822,-1.434629201889038,-0.6919434070587158,-1.214451789855957,-0.4102964401245117,-0.3590553402900696,1.0051429271697998,0.5821036100387573,-0.1383531242609024,0.15266183018684387,-0.1141321212053299,0.6530345678329468,simple,False,False,False
HumanEval/92,True,True,True,True,True,True,True,True,True,True,True,True,3.464465618133545,1.9795105457305908,2.699526786804199,2.3995466232299805,0.9006466269493103,1.9504776000976562,1.8955554962158203,5.781827926635742,2.7855544090270996,2.1275794506073,3.321864604949951,3.5508432388305664,careful,True,True,True
HumanEval/93,False,False,False,False,True,False,False,True,True,False,True,True,-0.15940435230731964,-1.9881919622421265,-1.5808238983154297,-1.7301580905914307,-1.0538926124572754,-1.0985370874404907,0.4154036045074463,-0.1961076408624649,-0.6803404092788696,-0.5422208905220032,-0.7941753268241882,0.21145716309547424,simple,False,True,True
HumanEval/94,False,False,False,False,True,True,True,True,False,True,True,True,2.5495636463165283,0.618908703327179,3.7652335166931152,2.8575851917266846,4.916314125061035,3.2447404861450195,3.6322264671325684,6.189267635345459,5.371691703796387,5.473659515380859,4.485522270202637,4.9934892654418945,careful,True,True,True
HumanEval/95,False,False,False,False,False,False,True,False,False,False,True,False,0.2951112389564514,-3.138411045074463,-0.4346538484096527,-0.49068355560302734,-0.2850969433784485,0.23828385770320892,0.7683579325675964,0.10014699399471283,-0.03818751871585846,0.6701635122299194,-0.26760971546173096,-0.11631539463996887,simple,True,False,True
HumanEval/96,False,False,False,True,True,True,True,True,True,True,True,True,1.5999462604522705,-1.2854678630828857,1.8927439451217651,0.7786164879798889,2.6357719898223877,1.9813952445983887,2.46278977394104,2.4537291526794434,1.7793532609939575,3.04317569732666,2.3441195487976074,2.8028006553649902,tdd,True,True,True
HumanEval/97,True,True,True,True,True,True,True,True,True,True,True,True,1.6555002927780151,-0.9022588729858398,3.0965723991394043,2.560147523880005,4.529020309448242,3.8625359535217285,3.8734588623046875,2.771223545074463,2.816084861755371,5.598609924316406,2.675661563873291,2.428276300430298,tdd,True,True,True
HumanEval/98,True,True,True,True,True,True,True,True,True,True,True,True,2.413137912750244,0.328447163105011,1.7831848859786987,1.009911298751831,3.311624765396118,2.257298469543457,2.7189667224884033,2.0608716011047363,1.0240471363067627,2.846937894821167,3.1659131050109863,2.344362258911133,expert,True,True,True
HumanEval/99,True,True,True,False,True,True,True,True,True,True,True,True,1.2264047861099243,0.179157093167305,1.6198614835739136,2.2986385822296143,2.893498659133911,2.1275439262390137,1.8474204540252686,2.4024105072021484,2.4926648139953613,3.6537866592407227,1.493851900100708,1.9625753164291382,tdd,True,True,True
HumanEval/100,False,False,False,True,False,False,False,False,False,False,False,False,-0.013449236750602722,-1.5948305130004883,-1.2121005058288574,-1.4351730346679688,-0.8744425773620605,-0.88630211353302,0.7634040713310242,0.07291458547115326,-0.41897857189178467,-0.1918030083179474,-0.552931010723114,0.5607678890228271,simple,False,False,True
